seq,company_name,type,primary_email,alt_emails,phone,website,email_raw,flags,status
1,100 Plus,F&B,carie_goh@fn.com.my,,03- 5101 4288 / 03- 5101 3946,https://100plus.com.my/,carie_goh@fn.com.my,,ready
2,A&W MALAYSIA,F&B,marketing@anwmalaysia.com.my,,60351316600,https://anwmalaysia.com.my/anw-malaysia/,marketing@anwmalaysia.com.my,,ready
3,ACCCIM SERC Trust,Government / Foundations / NGOs,serc@acccimserc.com,,603-4260 3116/3119,https://www.acccimserc.com/research,serc@acccimserc.com,,ready
4,Adidas Malaysia,Sports & Fitness,support-en@onlineshop.adidas.com.my,,603-40656996,https://www.adidas.com.my/en/help/sea-contact/contact-us,support-en@onlineshop.adidas.com.my,,ready
5,Aeon Big,Retail / Lifestyle,feedback@aeonretail.com.my,,ed1i-t3.c0o0m-8.0m-2y 3/6 s6e e/ d1p-3a0c0k-@80a-e2o3n9r9e t/a 0il.1c8o9m4.2m4y280,https://aeongroupmalaysia.com/,feedback@aeonretail.com.my / acsm_csr@aeoncr,DUPLICATE_EMAIL,ready
6,Ahmad Zaki Resources Berhad,Corporate / Finance,azrb@azrb.com,,"60326987171, 0123230267, 0123230270, 0123230","4h9t2tp, 0s1:/2/w32w3w0.4a2z1rb.com/contact-us",azrb@azrb.com,,ready
7,Ajinomoto Malaysia – Amino Vital,F&B,corporate@ajikl.com.my,,03-7980 6958,https://www.ajinomoto.com.my/brands/retail-product/aminovital,corporate@ajikl.com.my,,ready
8,Al-Ikhsan Sports,Sports Equipment / Apparel,customer.service@al-ikhsan.com,,1800 22 8188,https://al-ikhsan.com/pages/contact,customer.service@al-ikhsan.com,,ready
9,Alif Cooking Oil / Sime Darby,Corporate / Finance,sdfoods@sdguthrie.com,,03 7848 4000,https://www.sdguthrie-professional.com/alif/alif-cooking-oil,sdfoods@sdguthrie.com,,ready
10,Amanah Ikhtiar Malaysia,Government / Foundations / NGOs,ikhtiar@aim.gov.my,,03-38681987,https://www.aim.gov.my/aduan,ikhtiar@aim.gov.my,,ready
11,Apollo Food Holdings Bhd,F&B,apollof@apollofood.com.my,,07-2365096/07-2365097,https://www.apollofood.com.my/get-in-touch/,apollof@apollofood.com.my,,ready
12,Arena Malaysia,Sports & Fitness,sales@21beyond.com.my,,60 3-5525 9999,https://arenagroup.com/my/contact/,sales@21beyond.com.my,,ready
13,ASICS Malaysia,Sports & Fitness,customers-my@asics.com,,,https://www.asics.com/my/en-my/contact,customers-my@asics.com,,ready
14,Astaka Padu Sdn Bhd,Property / Developer,ir@astaka.com.my,,07-231 5457,https://astaka.com.my/,ir@astaka.com.my,,ready
15,Axiata Foundation,Corporate / Finance,axiatafoundation@axiata.com,,,https://www.axiata-foundation.com/contact-us,axiatafoundation@axiata.com,,ready
16,Bambusa Foundation,Government / Foundations / NGOs,bambusafoundation@gmail.com,,011 29078007,https://www.bambusafoundation.org/,bambusafoundation@gmail.com,FREEMAIL,ready
17,Ban Heang,F&B,banheang@gmail.com,,04 229 5018,https://banheang.com.my/,banheang@gmail.com,FREEMAIL,ready
18,Batik Air,Travel / Hospitality,od_customercare@batikair.com.my,,+603 78415 388 / Whatsapp: +62 811-1938-0888,https://www.batikair.com.my/contact-us/call-center,od_customercare@batikair.com.my,DUPLICATE_EMAIL,ready
